Ano,Mês,Valor Investido (€),Ativo,Rentabilidade (%),Quantidade
2025,7,64.96,QVDE,11.0,2.0
2025,7,207.07,S&P 500,11.0,2.0
2024,8,190.96,S&P 500,11.0,2.0
2024,8,142.25,QVDE,12.0,5.0
2024,10,306.9,S&P 500,11.0,3.0
2024,11,29.57,QVDE,12.0,1.0
2024,12,329.51,S&P 500,11.0,3.0
2024,12,216.74,S&P 500,11.0,2.0
2025,1,221.82,S&P 500,11.0,2.0
2025,3,197.22,S&P 500,11.0,2.0
2025,4,181.45,S&P 500,11.0,2.0
2025,5,395.07,S&P 500,11.0,4.0
2025,6,298.83,S&P 500,11.0,3.0
2025,1,32.91,QVDE,12.0,1.0
2025,3,54.74,QVDE,12.0,2.0
2024,12,32.92,QVDE,12.0,1.0
